"","location","freq","long","lat"
"329","Follow me free LISTIA stuff",1,NA,NA
"330","Fort Bragg, NC",1,-79.0079949,35.1414552
"331","Fort Erie, Ontario",4,-78.9721745,42.9017764
"332","fort worth tx",1,-97.3307658,32.7554883
"333","france",1,2.213749,46.227638
"334","France",3,2.213749,46.227638
"335","Ft. Lauderdale Florida",1,-80.1373174,26.1224386
"336","Gáfete / Lx",1,NA,NA
"337","Galloway, Ohio",2,-83.162972,39.913345
"338","Garwin, Iowa",1,-92.6757523,42.0935999
"339","Gatley",1,-2.2446419,53.39286
"340","GBoro ",1,NA,NA
"341","Georgia, USA",1,-82.9000751,32.1656221
"342","Germany",5,10.451526,51.165691
"343","Gilford, NH",2,-71.4067385,43.5475771
"344","Glasgow area",1,-95.6128677,30.1847234
"345","Glasgow, Scotland",1,-4.251806,55.864237
"346","Global Citizen",2,-73.9968807,40.7249194
"347","God Bless The United States",1,NA,NA
"348","Goffstown, NH",3,-71.6002223,43.0204052
"349","Gov Browns Broken State-CA",1,-118.2468368,34.0494395
"350","Grand Blanc, MI",1,-83.6299518,42.9275277
"351","Grand Rapids, MI",5,-85.6680863,42.9633599
"352","Gravity Falls, OR",1,NA,NA
"353","Greater L.A. Metro Sprawl",1,NA,NA
"354","Greece",1,21.824312,39.074208
"355","Greensboro, NC",1,-79.7919754,36.0726354
"356","Guatemala",1,-90.230759,15.783471
"357","H-TOWN",1,-96.7028312,33.0205401
"358","Hagerstown",1,-77.7199932,39.6417629
"359","Hamden, CT",1,-72.9026064,41.3838782
"360","Hampshire United Kingdom",1,-1.3080629,51.0576948
"361","Hatfield / Plymouth",1,-4.1624614,50.4037673
"362","Hawaii, USA",2,-155.5827818,19.8967662
"363","Hayward, CA",1,-122.0807964,37.6688205
"364","Heart in Wales, Head in London",1,-0.1286325,51.5101623
"365","Heaven",1,-96.373747,30.6735749
"366","Hell.. and It's cold",2,NA,NA
"367","Henderson, Texas",1,-94.7993802,32.1532156
"368","Hertfordshire ",1,-0.2376744,51.8097823
"369","Hickory, NC",1,-81.3444573,35.7344538
"370","high above the Hudson",1,-73.9458388,41.7106142
"371","Hitchin, England",1,-0.283414,51.94921
"372","holden beach, nc",1,-78.3038892,33.9135061
"373","holland, MI",1,-86.1089301,42.7875235
"374","Hollywood, CA",1,-118.3286614,34.0928092
"375","Hollywood, California",1,-118.3286614,34.0928092
"376","Homebase: NYC",1,-73.9950857,40.6926469
"377","Hong Kong",2,114.109497,22.396428
"378","HopeUSA ",1,-93.5915665,33.6670615
"379","Hopkins, Michigan",1,-85.7603024,42.6236425
"380","Hosston,la ",1,-93.8785127,32.8876386
"381","hou$ton texas",1,-95.3698028,29.7604267
"382","hou$ton, tx",1,-95.3698028,29.7604267
"383","Houston, Texas",2,-95.3698028,29.7604267
"384","Houston, TX",3,-95.3698028,29.7604267
"385","Houston, TX .. US? Yee-haw?",1,NA,NA
"386","Houston,TX",2,-95.3698028,29.7604267
"387","Hudson, WI",1,-92.7568703,44.9746896
"388","Hull, England",1,-0.3367413,53.7456709
"389","Hungary",1,19.503304,47.162494
"390","Hurstpierpoint",1,-0.179902,50.934439
"391","Hyderabad, Pakistan",1,68.3693897,25.3817509
"392","Idaho",1,-114.7420408,44.0682019
"393","Idaho, USA",1,-114.7420408,44.0682019
"394","Illalung Land, NSW Australia",2,151.7162929,-32.9144061
"395","Illinois",1,-89.3985283,40.6331249
"396","Illinois ",1,-89.3985283,40.6331249
"397","Illinois, Chicago",8,-87.6297982,41.8781136
"398","Illinois, USA",4,-89.3985283,40.6331249
"399","Im Round",1,NA,NA
"400","In a van down by the river",1,-74.7982,40.1132
"401","In my zone.",1,-123.1058325,49.2839699
"402","In your head & in your heart.",1,-122.3172431,47.6142638
"403","Indiana",1,-86.1349019,40.2671941
"404","Indiana, USA",3,-86.1349019,40.2671941
"405","Indianapolis, USA",1,-86.158068,39.768403
"406","Infinite speck of Universe",2,NA,NA
"407","Ingleside on the Bay, TX",1,-97.2241138,27.829352
"408","Iowa City, IA",1,-91.5301683,41.6611277
"409","Iowa Farm Boy",1,-117.340435,33.9862721
"410","iPhone: 36.376541,-87.570793",1,NA,NA
"411","Ireland",4,-7.6920536,53.1423672
"412","Irony Magnet",1,NA,NA
"413","islamabad Pakistan",1,73.0931461,33.7293882
"414","Issy-les-Moulineaux",1,2.2743419,48.8245306
"415","İstanbul, Türkiye",1,28.9783589,41.0082376
"416","Italy",1,12.56738,41.87194
"417","Ithaca, NY",1,-76.5018807,42.4439614
"418","Jefferson County, Wisconsin",3,-88.7108964,43.089927
"419","Jersey City, NJ",1,-74.0776417,40.7281575
"420","Jeumont, France",1,4.100791,50.296322
"421","Jewellery Quarter, Birmingham",1,-1.9108802,52.4857957
"422","JHANG , PUNJAB , PAKISTAN",1,72.319273,31.2600618
"423","JoCo NC",1,-78.3842227,35.4403514
"424","Joga Bonito! / Pra cima Major!",1,NA,NA
"425","jsk@wutangmanagement.com",2,NA,NA
"426","Juárez, Chihuahua",2,-106.4245478,31.6903638
"427","Kamō‘ili‘ili,Kona,O‘ahu-a-Lua",1,NA,NA
"428","Kansas",3,-98.4842465,39.011902
"429","Kansas City",2,-94.5785667,39.0997265
"430","Kansas City Missouri",1,-94.5785667,39.0997265
